year,life_expectancy_at_birth
1900,47.3
1901,49.1
1902,51.5
1903,50.5
1904,47.6
1905,48.7
1906,48.7
1907,47.6
1908,51.1
1909,52.1
1910,50.0
1911,52.6
1912,53.5
1913,52.5
1914,54.2
1915,54.5
1916,51.7
1917,50.9
1918,39.1
1919,54.7
1920,54.1
1921,60.8
1922,59.6
1923,57.2
1924,59.7
1925,59.0
1926,56.7
1927,60.4
1928,56.8
1929,57.1
1930,59.7
1931,61.1
1932,62.1
1933,63.3
1934,61.1
1935,61.7
1936,58.5
1937,60.0
1938,63.5
1939,63.7
1940,62.9
1941,64.8
1942,66.2
1943,63.3
1944,65.2
1945,65.9
1946,66.7
1947,66.8
1948,67.2
1949,68.0
1950,68.2
1951,68.4
1952,68.6
1953,68.8
1954,69.6
1955,69.7
1956,69.7
1957,69.5
1958,69.6
1959,69.9
1960,69.8
1961,70.3
1962,70.1
1963,69.9
1964,70.2
1965,70.2
1966,70.2
1967,70.6
1968,70.0
1969,70.5
1970,70.8
1971,71.1
1972,71.2
1973,71.4
1974,72.0
1975,72.6
1976,72.9
1977,73.3
1978,73.4
1979,73.8
1980,73.6
1981,74.0
1982,74.4
1983,74.5
1984,74.6
1985,74.6
1986,74.6
1987,74.8
1988,74.8
1989,75.0
1990,75.2
1991,75.4
1992,75.6
1993,75.4
1994,75.6
1995,75.6
1996,76.0
1997,76.4
1998,76.6
1999,76.6
2000,76.6
2001,76.8
2002,76.9
2003,77.0
2004,77.5
2005,77.5
2006,77.7
2007,78.0
2008,78.0
2009,78.4
2010,78.5
2011,78.6
2012,78.7
2013,78.7
2014,78.8
2015,78.7
2016,78.5
2017,78.5
2018,78.6
2019,78.8
2020,77.0
2021,76.3
2022,77.5
2023,78.4
2024,79.0
